bench,cfg,trials,exec_time,sterror,error_pct
conv,baseline,5,15569.4,15.15,0.0
conv-multioutput,baseline,5,61809,30.95,0.0
distance,baseline,5,542.4,1.29,0.0
matmul-2,baseline,5,5455,11.5,0.0
retrieval-1024,baseline,5,481574,1324.76,0.0
retrieval-256,baseline,5,120070.8,55.01,0.0
set-union-16,baseline,5,93961.2,35.88,0.0

bench,cfg,trials,exec_time,sterror,error_pct
conv,e1-o0,5,37.6,0.6,0.02
conv-multioutput,e1-o0,5,106.4,0.6,0.01
distance,e1-o0,5,375,1.84,0.0
matmul-2,e1-o0,5,68,0.32,0.0
retrieval-1024,e1-o0,5,401.4,0.68,0.0
retrieval-256,e1-o0,5,133,0.0,0.0
set-union-16,e1-o0,5,1013.6,0.98,0.0

